Wiederaufnahme der Sitzungsperiode	Resumption of the session
Bezeichnenderweise werden selbst in den Inselregionen sehr große Anbauflächen verlangt.	The requirement for very large cultivated areas, even in island regions, is a typical example.
Diese Voraussetzung mutiert jedoch in Verbindung mit den Quoten zu einem Verbot.	This requirement becomes prohibitive when combined with quotas.
Die Gemeinschaft fordert demnach von den Junglandwirten große Anbauflächen und eine hohe Produktion, gesteht ihnen aber aufgrund der Quoten eigentlich überhaupt keine Erträge zu.	In other words, the Community requires young farmers to have a large farm and large-scale production, but nigh prevents them from producing anything with the quota system.
Dieses Paradoxon wurde unserer Meinung nach von der Europäischen Union weder ungewollt noch zufällig gewählt.	This incongruous situation is not, in my view, an inadvertent, random choice by the European Union.
Es zielt vielmehr ganz bewusst darauf ab, die armen mittelständischen Landwirte ins Abseits zu stellen und die Großlandwirte, oder vielmehr die Großunternehmer in der Landwirtschaft, zu fördern.	It is deliberate policy, the purpose being to ruin poor, medium-sized farmers and support large farms or rather large companies in the agricultural sector.
Gerade deshalb, Herr Präsident, eben weil dieser Bericht die wirklichen Gründe verschweigt, können wir nicht dafür stimmen.	That is why we cannot vote in favour of this report; it is because it conceals the real reasons.
Und selbst diese Beihilfen werden, wenn sie denn armen mittelständischen Junglandwirten überhaupt gewährt werden, nur tröpfchenweise zur Verfügung gestellt.	Even these grants, when they are given to poor, medium-sized farmers, are meted out in drips and drabs and Greece is a typical example here.
Für mein Land könnte ich da einige typische Beispiele nennen. Ich weiß beispielsweise nicht, ob Herrn Fischler bekannt ist, dass in Griechenland die Beihilfen für Junglandwirte noch nicht ausgezahlt worden sind, obgleich die Regierung im April vorigen Jahres gerade diese Art von Argumenten bis zum Überdruss ins Feld geführt hat, um wiedergewählt zu werden.	I do not know, for example, if Mr Fischler is aware of the fact that our grants for young farmers have still not been received, despite the fact that the government used this type of argument to saturation point in order to win votes last April.
Herr Präsident, ich möchte dem Berichterstatter zunächst zu seinem sehr gründlich recherchierten und objektiven Bericht gratulieren, den meine Fraktion und ich bedenkenlos befürworten können.	Mr President, I want to commence by complimenting the rapporteur on his very well-researched and objective report which I and my group have no difficulty in supporting.
Im Rahmen der Agenda 2000 wurden sehr glaubwürdige Anstrengungen unternommen, um eine Lösung für das ernste Problem der Nachfolge in der europäischen Landwirtschaft zu finden.	In the context of Agenda 2000, very credible efforts were made to deal with the serious problem of succession in European agriculture.
Geringfügige Veränderungen an den Ruhestandsregelungen für Landwirte, Niederlassungsbeihilfen und andere Maßnahmen bringen uns unserem Ziel jedoch nicht unbedingt näher, und meiner Ansicht nach müssen wir uns diesem Problem erneut dringend widmen. Andernfalls gerät der Fortbestand des landwirtschaftlichen Familienbetriebs ernsthaft in Gefahr.	A re-vamped farm retirement scheme, installation aid and other measures may not, however, achieve our desired objective and in my view the problem must be revisited as a matter of urgency, otherwise the continuity of family farming will be put at serious risk.
Abgesehen von den äußerst beunruhigenden und verheerenden Auswirkungen von BSE, die ich für überwindbar halte, besteht das eigentliche Problem für junge Menschen, die normalerweise einen landwirtschaftlichen Beruf ergreifen würden, darin, dass es, so begrüßenswert dies an sich auch ist, alternative Beschäftigungsmöglichkeiten mit einer besseren finanziellen Perspektive gibt.	Apart from the seriously upsetting and devastating consequences of BSE, which I believe will be overcome, the real problem for young people who in normal circumstances would take up farming as a career is the availability, welcome though it is, of alternative and certainly more financially rewarding employment.
Landwirte und Nichtlandwirte müssen sich dieser Realität stellen, und zwar bevor es zu spät ist. Auf dem Beruf des Landwirts lastet eine schwerwiegende Verantwortung.	Farmers and non-farmers must face this reality and do so before it is too late.
Er muss die Sicherheit und Qualität der Lebensmittel für unsere Bürger garantieren. Unsere Aufgabe ist es, die Produktionsgrundlage der europäischen Agrarwirtschaft zu schützen, indem wir dafür sorgen, dass junge Menschen, denen das landwirtschaftliche Ethos im Blut liegt, entsprechend gefördert und entschädigt werden.	Farming as a profession has the onerous responsibility of guaranteeing our citizens food security and quality, and we must act to safeguard the productive base of European agriculture by ensuring that young people with the ethos of farming in their blood are appropriately encouraged and compensated.
Mir ist klar, dass viele landwirtschaftliche Kleinbetriebe aus Gründen der Betriebsgröße und der Betriebswirtschaft nicht in der Lage sind, ihren Besitzern ein angemessenes Einkommen zu sichern.	I realise that many small farms do not have the capacity to generate sufficient income for their owners because of scale and enterprise.
Meiner Ansicht nach müssen wir diejenigen, die an einer Umstrukturierung interessiert sind, stärker unterstützen und die vom Berichterstatter in seinem Bericht erwähnte Zusammenlegung von Flächen und Humanressourcen fördern. Dies würde die Effizienz steigern und die Wettbewerbsfähigkeit erhöhen.	I believe we must do more to assist those interested in a restructuring programme - and the rapporteur made reference to it in his report - through the pooling of land and human resources, which would lead to greater efficiency and improved competitiveness.
Außerdem müssen wir alles tun, um beispielsweise durch Schaffung von Beschäftigungsmöglichkeiten in der Landwirtschaft und von Teilzeitarbeitsplätzen sowohl für Frauen als auch für Männer die ländliche Entwicklung und den Einsatz der neuen Technologien zu fördern.	Likewise, the opportunity of rural development and new technology in terms of creating farm and part-time employment for both women and men must, in every case, be vigorously pursued.
Herr Präsident, Herr Kommissar, verehrte Kolleginnen und Kollegen! Wenn wir uns vor Augen führen, dass 55 % der europäischen Landwirte älter als 55 Jahre und 23 % jünger als 44 Jahre sind, können wir nur zu dem Schluss gelangen, dass die Zukunft der Landwirtschaft in der Europäischen Union bedroht ist.	Mr President, Commissioner, ladies and gentlemen, when we realise that 55% of European farmers are over 55 years old and only 23% are less than 44 years old, we must inevitably conclude that the future of farming in the European Union is under threat.
In meinem Land, wo diese Kennziffern bei 66 % bzw. 15 % liegen, ist die Lage noch gravierender.	The situation is even more serious in my own country, where these figures are 66% and 15% respectively.
Mitte der 80er Jahre gab die GAP den Auftakt zu einer Entwicklung in Richtung eines Ausbaus von Maßnahmen zur direkten Kontrolle der Produktion mit dem Ziel, Überschüsse zu verhindern und die Preise und Einkommen stabil zu halten.	In the mid-1980s, the CAP began changing in order to improve measures for direct control of production with the aim of preventing surpluses and guaranteeing the stability of prices and incomes.
Die Kehrseite der Medaille dieser Entscheidung für die Stabilität war jedoch ein zunehmend erschwerter Zugang zur landwirtschaftlichen Tätigkeit, die ganz besonders die Junglandwirte bestraft, und zwar erstens durch Schwierigkeiten beim Erhalt von Quoten, Produktionsrechten oder Prämienansprüchen und zweitens durch die Erhöhung des Bodenpreises aufgrund des Wertzuwachses infolge des Quotensystems.	However, the other side of the coin as regards opting for stability in this way has been less flexibility in access to farming, which particularly penalises young farmers, first of all because of the difficulty in gaining access to quotas, production or premium rights. Secondly, young farmers are penalised as a result of increases in land prices due to the increase in value created by the quota systems.
Zudem haben viele Mitgliedstaaten offenkundig keine Maßnahmen ergriffen, um auch nur im Geringsten auf die Sorgen der Junglandwirte zu reagieren.	Furthermore, it is well known that many Member States have not implemented measures that in any way address the concerns of young farmers.
Als Beispiel möchte ich mein eigenes Land nennen, wo man nach der Aufbruchstimmung nach dem Beitritt zur Europäischen Gemeinschaft in den letzten Jahren wieder in Unsicherheit verfiel, ja sogar Aktivitäten der repräsentativsten Organisation der Junglandwirte bestraft.	I shall give the example of my own country where, after an initial phase of enthusiasm when we joined the EU, in recent years we have become more sceptical and the activities of the organisations most representative of young farmers have even been penalised.
In diesem Sinne sind dringend einige grundlegende Maßnahmen in der Richtung geboten, wie sie ja auch vom Berichterstatter vorgeschlagen wird, und zwar vor allem durch die Schaffung von speziellen Reserven an Produktionsquoten und -rechten ausschließlich für die Junglandwirte, durch die Erhöhung der Beihilfen für die Erstniederlassung und für Investitionen in die landwirtschaftlichen Betriebe, durch ein spezielles Kreditanreizsystem in Ergänzung zu den anderen Investitionsbeihilfen, durch die Schaffung von Bedingungen für ernstgemeinte Vorruhestandregelungen für ältere Landwirte, die den Erneuerungsprozess beschleunigen, sowie durch Maßnahmen in den Bereichen Ausbildung und Information.	For this reason we must, as a matter of urgency, adopt certain fundamental measures which are, in fact, in line with the rapporteur' s proposals. These are, specifically, to create special reserves for quotas and production rights solely for young farmers, to increase support for setting up a first farm and investment in farm properties, to establish a special scheme for low-interest loans to supplement other investment aid, to establish conditions for the proper functioning of an early retirement scheme for older farmers, which will speed up the process of renewal and, of course, to adopt training and information measures.
Jetzt ist es notwendig, dass die Kommission unverzüglich Vorschläge für Aktionsmaßnahmen vorlegt und der Rat diese beschließt.	The Commission must now urgently table proposals for measures for action and the Council must adopt them.
Andernfalls wird ein Mangel an Verantwortungsbewusstsein das Fortbestehen der Landwirtschaft im europäischen Raum mit allem, was sie für unsere Zivilisation bedeutet, gefährden.	Unless this happens, we will be taking an irresponsible attitude that will put the continuity of farming in Europe, with all that this means for our culture, at risk.
Abschließend möchte ich unserem Kollegen Neil Parish für seine ausgezeichnete Arbeit bei der Erstellung dieses Berichts danken.	To conclude, I wish to thank Neil Parish for his outstanding work on this report.
Herr Präsident, der Bericht befasst sich mit einer äußerst komplizierten Thematik. Wie der Berichterstatter bereits andeutete, waren die Perspektiven für junge Menschen in der Landwirtschaft seit Einführung der GAP wahrscheinlich nie so schlecht wie heute, und wir können ihre Perspektiven nicht von denen der Agrarwirtschaft insgesamt oder vom Wohlergehen der Gemeinden auf dem Lande trennen.	Mr President, the report deals with a most difficult subject: the prospects for young people in the farming industry, as the rapporteur has indicated, are probably worse than at any time since the creation of the CAP and their prospects cannot be separated from those of the industry as a whole or from the prosperity of the rural communities.
Wie komplex die Situation ist, lässt sich u. a. an den Ausbildungsgängen ablesen, die von landwirtschaftlichen Ausbildungseinrichtungen angeboten werden.	One measure of the complexity of the situation can be found in the courses which are now offered at agricultural colleges.
An den beiden Colleges in meiner Region ist die Zahl der landwirtschaftlichen Ausbildungsgänge in einem Fall auf 40 % zurückgegangen, und die verbleibenden 60 % sind auf Pferde und Kleintiere spezialisiert.	At the two colleges in my region the number of courses relating to farming has now fallen to 40% in one case, and the remaining 60% of the courses relate to horses and small animals.
Wichtig ist jedoch, dass 70 % der Studenten aus Familien von Landwirten stammen. Die Verbindung besteht also noch.	Significantly, 70% of the students, however, come from farming families, so there is still that link.
Der Bericht unterstreicht die Notwendigkeit von Maßnahmen zur Förderung von Berufsanfängern und der unionsweiten Standardisierung. Wie der Berichterstatter feststellte, setzte sich auch der ausgezeichnete STOA-Bericht, der zu Beginn des vergangenen Jahres vorgelegt worden war, mit dieser Thematik auseinander.	The report spells out that there is a strong case for measures to encourage new entrants to the industry and for achieving a much greater degree of standardisation across the European Union, and the issue, as the rapporteur mentioned, was well dealt with in the excellent STOA report at the beginning of last year.
Dieser Bericht enthält zahlreiche gute Beispiele, die uns bei unseren Beratungen im Ausschuss als wertvolles Hintergrundmaterial dienten.	There are many good examples in that document of the valuable background material which we were able to use during discussions in committee.
Nachdem das Programm zur Entwicklung des ländlichen Raums nun verabschiedet ist, muss geprüft werden, wie es zur Verbesserung der Ausbildungs- und Umschulungsmaßnahmen an unseren landwirtschaftlichen Ausbildungseinrichtungen genutzt werden kann.	Now that the rural development programme is in place it is important to examine how this programme can be used to strengthen training and re-training facilities in our agricultural colleges.
Für besonders wichtig halte ich die Ausbildung im Bereich der landwirtschaftlichen Diversifizierung einschließlich der Erzeugung kleiner Mengen für Nischenmärkte. Ein weiterer Bereich wären Marketingmethoden für Absatzgenossenschaften, die es einzelnen Betrieben ermöglichen würden, sich durch Zusammenschluss eine ähnlich günstige Verhandlungsposition wie Supermarktketten zu verschaffen.	I would emphasise the need for training in farm diversification, including low-volume products for niche markets, and cooperative marketing techniques where, by coming together, individual farms can seek to match the commercial bargaining strength of the supermarket chains.
Besondere Aufmerksamkeit sollten derartige Kurse den Bedürfnissen der kleineren Betriebe widmen, in denen Neueinsteiger am ehesten anzutreffen sind.	I would also wish to see such courses paying special attention to the needs of the smaller farm where new entrants are most likely to be found.
Ich hoffe, dass die Kommission und die Regierungen der Mitgliedstaaten die zahlreichen ausgezeichneten Vorschläge dieses Berichts aufgreifen und damit der Entwicklung der Agrarwirtschaft im ländlichen Raum neue Impulse verleihen werden.	I hope that the Commission and the national governments will take note of the many excellent suggestions in this report and thus give a boost to the future prosperity of farming in the rural areas.
Herr Präsident, Herr Kommissar, herzlichen Glückwunsch an meinen Kollegen, Herrn Parish, für einen sehr guten Bericht.	Mr President, Commissioner, I should like to congratulate my fellow MEP, Mr Parish, on an extremely good report.
Ich möchte auf den geringen Zugang von jungen Leuten zu diesem Erwerbszweig hinweisen und gleichzeitig auf den viel zu hohen Abgang, der in diesen Jahren zu verzeichnen ist, denn ohne Zugang von jungen Leuten wird es auf lange Sicht keine Landwirtschaft mehr geben.	I want to focus upon the small number of young people going into farming in recent years and, at the same time, the unduly large number of people who are also leaving it, because, if young people do not come into the industry, there will come a time when agriculture no longer exists.
Ich halte das derzeitige Image der Landwirtschaft für eines der ganz großen Probleme, was auf den Ausbruch von Krankheiten, Dioxin-Skandale usw. zurückzuführen ist.	I think that the image of farming - due to the many outbreaks of disease, dioxin scandals etc - is, at the moment, one of the really major problems.
Dadurch erscheint der Beruf des Landwirts insgesamt in einem schlechten Licht, und es ist ungerecht gegenüber den Landwirten und ihren Familien, die ihre Höfe perfekt führen.	It puts the whole industry in a negative light and seems unfair to the many farming families who would, of course, get top marks for the way they look after their farms.
Es besteht kein Zweifel daran, dass Offenheit und Informationen über Produktion, moderne Ställe und die Gemeinsame Agrarpolitik sowie über die Versorgung von Böden und Tieren sehr wichtig sind.	It is undoubtedly very important that there should be transparency and that people should be made more aware of production methods and of the modern stalls and cowsheds that now exist, as well as being given information about the common agricultural policy and about the ways in which fields and animals are looked after.
Moralische und finanzielle Unterstützung und Ausbildung sind wichtig.	Efforts must be concentrated on providing support - moral, educational and financial.
Keiner stellt in diesen Jahren die vielen Millionen Euro in Frage, die wir in die Ausbildung von Juristen, Ingenieuren und Ärzten stecken.	No one has in recent years questioned the many millions of euros we pump into training lawyers, engineers and doctors.
Es gibt eine eindeutige Parallele zu Junglandwirten, welche die Verantwortung für den Boden und die Tiere tragen, die wir besitzen, und insbesondere für die Lebensmittel, die wir verzehren.	There is a clear parallel with young farmers who, of course, are responsible for the land and the animals we have and, especially, the food we eat.
Herr Präsident, auch ich möchte den ausgezeichneten Bericht von Herrn Parish und seine intensive Arbeit würdigen.	Mr President, I also commend Mr Parish for his hard work and the excellent report.
In der kurzen mir zur Verfügung stehenden Redezeit möchte ich betonen, dass Junglandwirte in ihrem ersten Betriebsjahr vor allem mit Kapital- und Cashflow-Problemen zu kämpfen haben.	In the brief time I have I wish to stress that one of the greatest difficulties facing young farmers entering the business today is capital and cash-flow problems in the first year of operation.
Ich unterstütze diesen Vorschlag, weil junge Menschen die Möglichkeit haben müssen, auf solider finanzieller Grundlage in diesen Sektor einzusteigen.	I am backing this proposal because young people must be given the opportunity to come into the industry on a sound financial footing.
Schließlich hängt die Zukunft unserer ländlichen Gemeinden von den Junglandwirten ab.	After all, young farmers hold the key to the future of all our rural communities.
Im Vereinigten Königreich gehen erschreckend wenig junge Menschen in die Landwirtschaft.	The lack of young people entering the agricultural industry in the UK is a very worrying problem.
Statistischen Angaben zufolge sind in Irland 14,8 % der Inhaber von landwirtschaftlichen Betrieben unter 35 Jahre alt. In Frankreich beträgt ihr Anteil 13,2 % und im Vereinigten Königreich gerade einmal 6,8 %.	Statistics show that in Ireland 14.8% of farm owners are under 35, in France the figure is 13.2%, but in the UK it is a mere 6.8%.
Ich möchte unterstreichen, dass landwirtschaftliche Betriebe auch zu den wichtigen Arbeitgebern im ländlichen Raum gehören.	I stress that farms are also important employers in our rural communities.
Arbeitsplätze schützen den ländlichen Raum; sie sorgen dafür, dass Postämter, Schulen und Dienstleistungseinrichtungen nicht geschlossen werden müssen.	Employment protects our countryside, it keeps our post offices, schools and services open there.
Ohne die Landwirtschaft und ihre Rentabilität können unsere ländlichen Gemeinden in ihrer jetzigen Form nicht überleben.	Farming and the viability of farming is the life blood of the future of our rural communities as we know them.
Wenn sämtliche Kleinbetriebe, dazu zählen auch die Landwirte, nur je eine weitere Arbeitskraft einstellen würden, dann hätten wir das Problem der Arbeitslosigkeit in der Europäischen Union mit einem Schlag gelöst.	If all small businesses - which includes farmers - were to employ just one more person each, then the whole unemployment situation throughout the European Union would be solved overnight.
Das Vereinigte Königreich und die Niederlande sind die einzigen Länder der Europäischen Union, in denen es kein Förderprogramm speziell für Junglandwirte gibt.	Of all the European Union countries, only the UK and the Netherlands do not operate a specific aid scheme for young farmers.
Nach den europäischen Regelungen zur Entwicklung des ländlichen Raums ist es möglich, Personen unter 40 Jahren eine Niederlassungsbeihilfe in Höhe von 16 500 Euro zu gewähren.	European rural development regulations allow a grant of EUR 16 500 to be made available for people under 40 years of age to establish themselves in a viable farm holding.
Leider wird dieses ausgezeichnete Programm von der britischen Labour-Regierung bisher nicht genutzt.	Yet the Labour government in the UK has not taken advantage of this excellent scheme.
Ich befürworte daher den Vorschlag, Niederlassungsbeihilfen EU-weit verbindlich vorzuschreiben.	I therefore fully support making installation aids mandatory across the European Union.
Die Agrarindustrie braucht frisches Blut, um diesem Zweig, der überaltert und desillusioniert vor sich hindämmert, neues Leben einzuhauchen.	The farming industry needs young blood in order to inject a new vibrancy into an industry which at present is aged and disillusioned.
Junglandwirte sind die Zukunft der Agrarindustrie und füllen die Gemeinden erst mit Leben.	Young farmers are the future of the farming industry and vital components in urban communities.
Ich danke Herrn Parish für seinen Bericht und wünsche seinem Bericht viel Erfolg. Möge es uns gelingen, die darin enthaltenen bedeutenden Beschlüsse konkret und konstruktiv umzusetzen.	I thank Mr Parish for his report and wish his report all the best to ensure that we can follow up these important decisions taken by him in a specific and constructive manner.
Herr Präsident, obgleich wortreiche Reden über die Rolle der Junglandwirte geschwungen wurden, stimmt ihre Situation nach wie vor wenig zuversichtlich.	Mr President, there has been endless discussion of the role of young people in agriculture, but even today their situation gives little cause for optimism.
Nicht zufällig führen wir, nach der Verabschiedung der Agenda 2000, in der gegenwärtigen neuen Verhandlungsphase der WTO sowie nunmehr am Vorabend der nächsten Erweiterung, auch heute hier wieder eine Diskussion über die Zukunft der Junglandwirte, jener jungen Leute, die in vielen Ländern unserer Union auf die Möglichkeit einer dauerhaften Tätigkeit im Agrarsektor setzen.	It is no coincidence that, after the launching of Agenda 2000, in the current phase of WTO renegotiations and with the now imminent prospect of enlargement, we are still here today debating the future of young farmers, of those young people who, in so many countries in Europe, are placing bets on whether they will be able to remain within the agricultural sector for good.
Wie können wir sie unterstützen?	How can we help them?
Ein erster Weg kann nur in der Aufhebung der im Rahmen der GAP vorgesehenen Maßnahmen bestehen.	One of the best solutions can only be to revoke the measures laid down by the CAP.
Es ist an der Zeit, gewissenhaft zu prüfen, inwieweit die Verteilung der Beiträge - die definitionsgemäß Einkommensbeihilfen sind - Betriebe erreichen, die im Wettbewerb auf dem globalisierten Markt mithalten können.	It is time to evaluate carefully how the distribution of contributions - as, by definition, income support - reaches undertakings able to compete on the global market.
Bei den Finanzierungsmaßnahmen soll dabei das Ziel der Senkung der allgemeinen Kosten stärker im Auge behalten werden, etwa durch die Förderung von Betriebsgemeinschaften.	This would make it possible to direct the finances towards a vision which is more targeted towards lowering general costs, encouraging the formation of consortia.
Man könnte auch auf eine gemeinsame Bewirtschaftung hinarbeiten, die letzten Endes gewissermaßen den Generationswechsel in der Landwirtschaft markiert.	We could also work on the joint farming of lands; after all, this is the change which will mark the evolution of farming.
Unter diesem Gesichtspunkt ist es ferner von entscheidender Bedeutung, im Hinblick auf Investitionen, die von Junglandwirten getätigt werden, Anreize in Form von Zinsvergünstigungen vorzusehen.	From this point of view, it is then essential to stipulate that incentives should be provided in the form of reductions in the relevant interest rates for investments made by young farmers.
Auf diese Weise würde fortgeführt, was bereits in der Verordnung (EG) Nr. 1257/1999 festgelegt worden ist, wonach das Zusammenwirken mehrerer Tätigkeiten gefördert wird, sofern diese auf eine stärkere Nutzung der in den Entwicklungsplänen für den ländlichen Raum vorgesehenen Ressourcen ausgerichtet sind.	In this way, we would be implementing the provisions of Regulation 1257 of 1999, which encourages the combining of several actions when they are aimed at bringing about greater use of the resources provided by development plans for rural areas.
Wenn unsere heutige Debatte Zeichen setzen würde, die in diese Richtung gehen, könnten wir wirklich damit beginnen, das Gerüst für ein neues, auf die junge Generation gegründetes Gebäude der europäischen Landwirtschaft zu errichten, wobei zudem all jene, die in den neuen, durch die Umwelt und die Vielfalt der Aufgaben gebotenen Möglichkeiten Alternativen suchen, keineswegs sich selbst überlassen oder vergessen werden sollen.	I feel that, if this debate were to send out these sorts of signals, we would be able genuinely to start building the framework for a new European agriculture structure based on young people which, most importantly, would certainly not mean abandoning and forgetting those who are seeking possible alternatives in the new environmental and multifunctionality opportunities.
Abschließend möchte ich dem Kollegen Parish für seine hervorragende Arbeit danken.	I would like to thank Mr Parish for his excellent work.
Herr Präsident! Der Bericht Parish analysiert gewissenhaft eine wichtige Frage für das Europa der Gemeinschaft und für die Beitrittskandidaten.	Mr President, the Parish report provides a rigorous analysis of an essential issue for the European Community and for those who wish to join the Union.
In der Tat muss den Junglandwirten vorrangige Aufmerksamkeit geschenkt werden.	Young farmers do indeed need urgent attention.
Zum einen, weil wir unsere jungen Menschen in allen Tätigkeitsbereichen unterstützen müssen, und zum anderen, weil wir am Verbleib der größtenteils mit der landwirtschaftlichen Tätigkeit verbundenen Landbevölkerung in ihren Regionen interessiert sind.	First, because we must support our young people in all areas of activity, and secondly because it is in our interests to keep the rural population, most of whom are connected with agricultural activities, in the countryside.
Dabei müssen wir zur Bewertung Elemente heranziehen, die zur Grundlage unserer sozialen Struktur, unserer Raumordnung, Wirtschaft, Kultur, also letztendlich unserer Zivilisation gehören.	In approaching this issue, we have to appraise elements that lie at the roots of our social structure, our territorial organisation, our economy, our culture and our civilisation itself.
Viele der diese Landwirte betreffenden Probleme stehen im wesentlichen Zusammenhang mit einem der Fundamente des in Europa vorherrschenden Wirtschaftsmodells, dem Privateigentum an Grund und Boden und den Formen seiner Übertragung.	Many of the problems that affect these farmers are substantially concerned with one of the bases of the dominant economic model in Europe; private land ownership and the forms of land transfer.
Dieser Bericht enthält einen Appell an die Institutionen, für eine konkrete Gruppe tätig zu werden und konkrete Maßnahmen einzuleiten, um die soziale Funktion des landwirtschaftlichen Grundbesitzes mit Inhalt zu füllen.	This report contains an appeal for institutional action benefiting a specific group and also for the implementation of concrete measures to give rural land ownership a meaningful social function.
In dieser Hinsicht halte ich die Stellungnahme des Ausschusses für Kultur, Jugend, Bildung, Medien und Sport für sehr zweckdienlich, in der es heißt, dass die Junglandwirte keine homogene Gruppe darstellen.	In this context, the opinion of the Committee on Culture, Youth, Education, the Media and Sport seems to me highly appropriate when it states that young farmers are not a very homogeneous group.
Man muss unterscheiden zwischen den Studenten landwirtschaftlicher Bildungseinrichtungen, jungen Menschen, die sich als Alternative zum Stadtleben auf dem Land niederlassen wollen, und den Kindern von Landwirten.	A distinction must be drawn between students at agricultural schools and colleges, young people who wish to set up in rural areas as an alternative to the urban environment, and the children of farmers.
Und auch bei letzteren würde ich noch diversifizieren zwischen Kindern von Landwirten, die in der Feldwirtschaft arbeiten, und jenen Nachfahren von Landwirten, die aufgrund der Größe ihres Besitzes echte Agrarunternehmer sind.	Even within this last group I would distinguish between those who are the children of farmers who work on the land and those who are descendants of farmers who, from the size of their holdings, are really agricultural businessmen.
Ich bin für Maßnahmen zur Minderung der Belastungen beim Erwerb von Grundeigentum durch Erbfolge und spreche mich ausdrücklich für weitere Aktionen aus, die ebenfalls im Bericht Parish genannt wurden und zur Lebensfähigkeit der im Rahmen der sozialen Marktwirtschaft organisierten Betriebe beitragen.	While accepting that measures should be taken to reduce charges on inheriting property, I would highlight other actions also mentioned in the Parish report to help make holdings viable, which are based on socio-economic formulas.
Ich möchte auf einen weiteren Aspekt des Berichts eingehen: Wir müssen darauf achten, dass unsere künftigen Mitglieder in der Union bei der Übernahme des gemeinschaftlichen Besitzstandes keine verborgenen Altlasten mit übernehmen, die die Entwicklung des ländlichen Raums in ihren Ländern erschweren.	I should like to stress another aspect of the report: we must try to ensure that when our future co-Members of the Union incorporate the acquis communautaire they do not bring in hidden habits that hinder the development of the rural environment in their countries.
Der Schritt von kollektivierten Agrarwirtschaften zu solchen, die denen der Gemeinschaft entsprechen, kann spekulative Prozesse auslösen, die den Marktwert von Grund und Boden künstlich in die Höhe treiben und so die Schwierigkeiten der Junglandwirte vergrößern, sich niederzulassen oder ihre Existenz auf dem Land zu behaupten.	The change from collectivised farming economies to situations that can be merged with the Community situation may trigger off speculative processes that will artificially raise market prices for land and thus increase young farmers' difficulties in setting up or keeping themselves in the countryside.
Dieser Bericht wird zweifellos in dem Maße von Bedeutung sein, in dem es uns auch gelingt, ihn in unseren Ländern, in den Ländern der Beitrittskandidaten und insbesondere in dem Sektor, an den er sich speziell richtet, bekannt zu machen.	This report, Mr President, will certainly be important in so far as we can also disseminate it in our own countries, in the candidate countries, and in particular in the sector it specifically addresses.
Herr Präsident, die Nachfolge in der Landwirtschaft ist tatsächlich in die Krise geraten, wie Herr Parish aus eigener Erfahrung als Landwirt gut weiß.	Mr President, there is indeed a crisis of succession in farming as Mr Parish with his expertise as a farmer knows well.
Wenn die Krise in dem Mitgliedstaat, aus dem Herr Parish stammt, besonders akut ist, dann ist das ein direktes Ergebnis der von der britischen Regierung in den letzten zwanzig Jahren verfolgten Politik. Um diese Krise zu überwinden, muss das Vereinigte Königreich die Auswirkungen der Vereinbarung von Fontainbleau über seinen Beitrag zu den Finanzen der EU neu überdenken, denn die waren für die Landwirtschaft verheerend.	If this crisis is particularly acute in Mr Parish's own Member State, it is the direct result of policies pursued by UK governments over the past twenty years, and to overcome it the United Kingdom must review the implications of the Fontainbleau Agreement for its contribution to European Union finances.
Außerdem muss der Berichterstatter als Mitglied der Konservativen Partei in seiner eigenen Partei Überzeugungsarbeit leisten, um sich deren Unterstützung für seine Vorschläge im Unterhaus zu versichern.	This has been disastrous for farming. Moreover, the rapporteur, a member of the Conservative Party, must work within his own party to secure support for his proposals in the House of Commons.
In Ländern, in denen weniger als 10 % der Bevölkerung auf dem Lande leben, ist es für die Regierungen nur allzu leicht, die Bedürfnisse dieser Gebiet zu vernachlässigen. Wir müssen den Regierungen von dieser Stelle aus klarmachen, dass sie damit ihr eigenes Land gefährden.	In countries where less than 10% of the population now lives in rural areas, it is too easy for governments to sideline the needs of these areas, and the message from this debate must be that they do so at the peril of their countries.
Herr Präsident! Zunächst möchte ich meinen Kollegen Neil Parish dazu beglückwünschen, dass er einen Bericht vorgelegt hat, der die Situation der Landwirte wirklichkeitsgetreu darstellt, der den ländlichen Raum realitätsbezogen und nicht so beschreibt, wie er in Brüssel gesehen wird.	Mr President, first of all, I should like to congratulate Mr Neil Parish on the fact that he has produced a report which is based on the farmers' reality, the reality in rural areas, and not on the view from Brussels.
Das stellt per se einen wertvollen Beitrag zur Agrarpolitik dar.	This in itself constitutes a valuable contribution to agricultural policy.
Betrachtet man nun die Situation, so fragt man sich doch, ob es überhaupt noch junge Leute gibt, die so verrückt sind, Landwirt in der Europäischen Union zu werden.	But if we now examine the situation, we could ask ourselves whether there are any young people left out there who are mad enough to become farmers in the European Union.
Was wir brauchen, sind Menschen, die zu Spitzenleistungen bereit, die wahre Allrounder sind, praktisch also Schafe mit fünf Beinen, ohne Genmanipulation wohlgemerkt.	What we need is people who want to take up the challenge of producing an outstanding achievement, five-legged sheep as it were, but not obtained through genetic modification.
Es erscheint als ein Kampf gegen Windmühlen, wenn man sieht, welche Anforderungen an Junglandwirte gestellt und welche Leistungen ihnen gleichzeitig abverlangt werden.	They seem to be fighting a losing battle, if we consider the adversities which young farmers face, as well as the achievements they are expected to deliver. To quote just one example - and I am just considering my own country for a moment - dairy farming is a sector where absolutely everything is being scrutinised, from the blade of grass right up to the moment that the milk hits the supermarkets.
